date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:13	3390/3390	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2002:36:48%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/man-1.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/man-1.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:14	3214/3214	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2002:36:48%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/man-2.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/man-2.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:17	182873/182873	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2002:36:48%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/table-bg.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/table-bg.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:19	3008/3008	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2002:36:48%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/man-3.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/man-3.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:20	3376/3376	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2002:36:48%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/man-4.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/man-4.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:20	3316/3316	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2002:36:48%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/man-5.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/man-5.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:21	19011/19011	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2002:37:12%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/counter-bg.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/counter-bg.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:24	13516/13516	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2002:36:48%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/reviewer1.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/reviewer1.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:28	32737/32737	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2016:09:02%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/reviewer-2.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/reviewer-2.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:29	28834/28834	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2016:09:10%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/reviewer-4.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/reviewer-4.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:29	33390/33390	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2016:09:06%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/reviewer-3.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/reviewer-3.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:30	2282/2282	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2002:37:12%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/footer-logo.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/footer-logo.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:32	37724/37724	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2023%20Nov%202020%2000:56:40%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/js/proper-min.js	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/js/proper-min.js	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:35	101678/101678	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2002%20Feb%202021%2000:22:04%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/js/jquery.min.js	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/js/jquery.min.js	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:36	61768/61768	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2005%20Mar%202021%2000:09:30%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/js/bootstrap.min.js	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/js/bootstrap.min.js	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:37	17926/17926	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2002%20Feb%202021%2000:17:08%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/js/plugin/waypoint.min.js	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/js/plugin/waypoint.min.js	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:37	72745/72745	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Mar%202021%2002:37:12%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/img/footer-bg.png	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/img/footer-bg.png	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:39	42766/42766	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Nov%202020%2002:33:40%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/js/plugin/owl.carousel.min.js	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/js/plugin/owl.carousel.min.js	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:39	2014/2014	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2002%20Feb%202021%2000:12:32%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/js/plugin/jquery.rcounter.js	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/js/plugin/jquery.rcounter.js	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:16:40	20216/20216	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Jan%202021%2007:05:10%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/js/plugin/jquery.magnific-popup.min.js	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/js/plugin/jquery.magnific-popup.min.js	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
